,title,date,author,link
0,ភរិយាលោក ម៉ម រិទ្ធី រ៉ាប់រងបញ្ហាជីវភាពម្នាក់ឯង ដោយស្វាមីជាប់ឃុំពាក់ព័ន្ធការតវ៉ាជូនកម្មករ,"November 29, 2024",ជា សុខនី,https://wmc.org.kh/article/121461/mam-rithys-wife-covers-her-life-alone-as-her-husband-is-detained-in-connection-with-the-protest-for-workers/
1,ស្ត្រីជាងចម្លាក់ថ្ម៖ ការងារស្រលាញ់ចេញពីបេះដូងទោះលំបាកក៏នៅតែអាចធ្វើបាន,"November 29, 2024",វ៉ាយ វត្តី,https://wmc.org.kh/article/121440/%e1%9e%9f%e1%9f%92%e1%9e%8f%e1%9f%92%e1%9e%9a%e1%9e%b8%e1%9e%87%e1%9e%b6%e1%9e%84%e1%9e%85%e1%9e%98%e1%9f%92%e1%9e%9b%e1%9e%b6%e1%9e%80%e1%9f%8b%e1%9e%90%e1%9f%92%e1%9e%98%e1%9f%96-%e1%9e%80%e1%9e%b6/
2,អ្នកស្រឡាញ់ភេទដូចគ្នា រំពឹងថានឹងមានពន្លឺច្បាប់អាពាហ៍ពិពាហ៍នៅកម្ពុជា,"November 28, 2024",ជា សុខនី,https://wmc.org.kh/article/121431/lgbt-people-expect-light-on-marriage-law-in-cambodia/
3,តុលាការស្វាយរៀង ដាក់បន្ទុកលោក ជា ចាន់ថា ទាំងស្មារតីមិននឹងនរ ដោយសារជាប់ឃុំយូរ,"November 28, 2024",ជា សុខនី,https://wmc.org.kh/article/121426/svay-rieng-court-charges-chea-chantha-with-long-term-detention/
4,យុវជនបរិស្ថាន៖ ការចាប់ផ្តើមតូចមួយនឹងបោះជំហរទៅរកការកែប្រែដ៏ល្អនាថ្ងៃខាងមុខ,"November 28, 2024",កែវ សុជាតា,https://wmc.org.kh/article/121416/%e1%9e%99%e1%9e%bb%e1%9e%9c%e1%9e%87%e1%9e%93%e1%9e%94%e1%9e%9a%e1%9e%b7%e1%9e%9f%e1%9f%92%e1%9e%90%e1%9e%b6%e1%9e%93-%e1%9e%94%e1%9f%92%e1%9e%9b%e1%9e%b6%e1%9e%9f%e1%9f%92%e1%9e%91%e1%9e%b7%e1%9e%80/
5,មន្រ្តី ប.ស.ស ថាសំណើមួយចំនួនពាក់ព័ន្ធបណ្ណ ប.ស.ស អាចមានលទ្ធផលនៅពាក់កណ្តាលឆ្នាំ២០២៥,"November 28, 2024",វ៉ាយ វត្តី,https://wmc.org.kh/article/121403/%e1%9e%98%e1%9e%93%e1%9f%92%e1%9e%9a%e1%9f%92%e1%9e%8f%e1%9e%b8-%e1%9e%94-%e1%9e%9f-%e1%9e%9f-%e1%9e%90%e1%9e%b6%e1%9e%9f%e1%9f%86%e1%9e%8e%e1%9e%be%e1%9e%98%e1%9e%bd%e1%9e%99%e1%9e%85%e1%9f%86/
6,ក្រុមយុវជនប្រារព្ធព្រឹត្តិការណ៍បោះជំរុំផ្លាស់ប្តូរបទពិសោធន៍ជុំវិញបញ្ហាដីធ្លីនិងធនធានធម្មជាតិ,"November 26, 2024",ជា សុខនី,https://wmc.org.kh/article/121388/%e1%9e%80%e1%9f%92%e1%9e%9a%e1%9e%bb%e1%9e%98%e1%9e%99%e1%9e%bb%e1%9e%9c%e1%9e%87%e1%9e%93%e1%9e%94%e1%9f%92%e1%9e%9a%e1%9e%b6%e1%9e%9a%e1%9e%96%e1%9f%92%e1%9e%92%e1%9e%96%e1%9f%92%e1%9e%9a%e1%9e%b9/
7,ម្ចាស់អាជីវកម្មមួយចំនួនបង្ហាញគំរូល្អដោយកាត់បន្ថយការប្រើប្រាស់ប្លាស្ទិកក្នុងសហគ្រាស,"November 26, 2024",កែវ សុជាតា,https://wmc.org.kh/article/121366/%e1%9e%80%e1%9e%b6%e1%9e%8f%e1%9f%8b%e1%9e%94%e1%9e%93%e1%9f%92%e1%9e%90%e1%9e%99%e1%9e%94%e1%9f%92%e1%9e%9b%e1%9e%b6%e1%9e%9f%e1%9f%92%e1%9e%91%e1%9e%b7%e1%9e%80/
8,ភរិយាមេបក្សកម្លាំងជាតិជិតដល់ពេលសម្រាល ប៉ុន្តែតុលាការមិនទាន់កំណត់ពេលប្រកាសសាលក្រម,"November 26, 2024",ជា សុខនី,https://wmc.org.kh/article/121367/the-wife-of-the-leader-of-the-national-forces-is-close-to-giving-birth-but-the-court-has-not-yet-set-a-verdict/
9,ផ្ទៀងផ្ទាត់៖ គ្លីនិកសុងហាក់ ម៉ារីណា ដែលយកសពអ្នកជំងឺផ្លុងចោល ដំណើរការ២ឆ្នាំ ដោយគ្មានច្បាប់,"November 26, 2024",គីម ចាន់ចាវ,https://wmc.org.kh/article/121364/songhak-marina-clinic-which-dumped-patients-bodies-operated-for-2-years-without-a-law/
10,អង្គការ CISA បង្កើតជំនួបឱ្យពលរដ្ឋនិងអាជ្ញាធរមូលដ្ឋានជួបជជែកលើកិច្ចការអភិវឌ្ឍភូមិឃុំនិងតម្រូវការនានា,"November 26, 2024",កែវ សុខា,https://wmc.org.kh/article/121351/cisa-organizes-meetings-for-citizens-and-local-authorities-to-discuss-village-and-commune-development-and-needs/
11,អាវុធហត្ថខេត្តស្ទឹងត្រែងសួរនាំសកម្មជនព្រៃឈើ៦នាក់ ដោយសារចូលតំបន់ហាមឃាត់,"November 25, 2024",ជា សុខនី,https://wmc.org.kh/article/121344/%e1%9e%a2%e1%9e%b6%e1%9e%9c%e1%9e%bb%e1%9e%92%e1%9e%a0%e1%9e%8f%e1%9f%92%e1%9e%90%e1%9e%81%e1%9f%81%e1%9e%8f%e1%9f%92%e1%9e%8f%e1%9e%9f%e1%9f%92%e1%9e%91%e1%9e%b9%e1%9e%84%e1%9e%8f%e1%9f%92%e1%9e%9a/
12,ក្រុមការងារកម្ចាត់មីនចុះរំដោះគ្រាប់មិនទាន់ផ្ទុះចំនួនបីនៅខេត្តកំពង់ធំ,"November 25, 2024",កែវ សុខា,https://wmc.org.kh/article/121336/demining-team-clears-three-unexploded-ordnance-in-kampong-thom-province/
13,«ទុក្ខលំបាកគ្រួសារខ្ញុំពុំមែនជាបន្ទុករបស់សាលាទេ» ករណីសិស្ស៤ឆ្នាំត្រូវគេចាក់ទម្លុះកញ្ចក់គ្រាប់ភ្នែកម្ខាង,"November 22, 2024",គីម ចាន់ចាវ,https://wmc.org.kh/article/121318/s/
14,នាយកដ្ឋានប្រឆាំងបទល្មើសបច្ចេកវិទ្យា ណែនាំកុំឱ្យចាញ់ល្បិចជនឆបោកតាមប្រព័ន្ធអនឡាញ,"November 22, 2024",កែវ សុជាតា,https://wmc.org.kh/article/121311/%e1%9e%94%e1%9e%91%e1%9e%9b%e1%9f%92%e1%9e%98%e1%9e%be%e1%9e%9f%e1%9e%94%e1%9e%85%e1%9f%92%e1%9e%85%e1%9f%81%e1%9e%80%e1%9e%9c%e1%9e%b7%e1%9e%91%e1%9f%92%e1%9e%99%e1%9e%b6/
